DATE,PAYEMS
2010-06-01,130511
2010-07-01,130427
2010-08-01,130422
2010-09-01,130357
2010-10-01,130625
2010-11-01,130750
2010-12-01,130822
2011-01-01,130841
2011-02-01,131053
2011-03-01,131288
2011-04-01,131602
2011-05-01,131703
2011-06-01,131939
2011-07-01,131999
2011-08-01,132125
2011-09-01,132358
2011-10-01,132562
2011-11-01,132694
2011-12-01,132896
2012-01-01,133250
2012-02-01,133512
2012-03-01,133752
2012-04-01,133834
2012-05-01,133934
2012-06-01,134007
2012-07-01,134159
2012-08-01,134331
2012-09-01,134518
2012-10-01,134677
2012-11-01,134833
2012-12-01,135072
2013-01-01,135263
2013-02-01,135541
2013-03-01,135680
2013-04-01,135871
2013-05-01,136093
2013-06-01,136274
2013-07-01,136386
2013-08-01,136628
2013-09-01,136815
2013-10-01,137040
2013-11-01,137304
2013-12-01,137373
2014-01-01,137548
2014-02-01,137714
2014-03-01,137968
2014-04-01,138293
2014-05-01,138511
2014-06-01,138837
2014-07-01,139069
2014-08-01,139257
2014-09-01,139566
2014-10-01,139818
2014-11-01,140109
2014-12-01,140377
2015-01-01,140568
2015-02-01,140839
2015-03-01,140910
2015-04-01,141194
2015-05-01,141525
2015-06-01,141699
2015-07-01,142001
2015-08-01,142126
2015-09-01,142281
2015-10-01,142587
2015-11-01,142824
2015-12-01,143097
2016-01-01,143205
2016-02-01,143417
2016-03-01,143654
2016-04-01,143851
2016-05-01,143892
2016-06-01,144150
2016-07-01,144521
2016-08-01,144664
2016-09-01,144953
2016-10-01,145071
2016-11-01,145201
2016-12-01,145415
2017-01-01,145612
2017-02-01,145795
2017-03-01,145934
2017-04-01,146154
2017-05-01,146295
2017-06-01,146506
2017-07-01,146734
2017-08-01,146924
2017-09-01,146966
2017-10-01,147215
2017-11-01,147411
2017-12-01,147590
2018-01-01,147671
2018-02-01,148049
2018-03-01,148244
2018-04-01,148397
2018-05-01,148667
2018-06-01,148881
2018-07-01,149030
2018-08-01,149259
2018-09-01,149364
2018-10-01,149576
2018-11-01,149668
2018-12-01,149908
2019-01-01,150145
2019-02-01,150095
2019-03-01,150263
2019-04-01,150482
2019-05-01,150545
2019-06-01,150720
2019-07-01,150913
2019-08-01,151108
2019-09-01,151329
2019-10-01,151524
2019-11-01,151758
2019-12-01,151919
2020-01-01,152234
2020-02-01,152523
2020-03-01,150840
2020-04-01,130161
2020-05-01,132994
2020-06-01,137840
2020-07-01,139566
2020-08-01,141149
2020-09-01,141865
2020-10-01,142545
2020-11-01,142809
2020-12-01,142503
2021-01-01,142736
2021-02-01,143272
2021-03-01,144057
2021-04-01,144326
2021-05-01,144940
2021-06-01,145902
2021-07-01,146993
2021-08-01,147476
2021-09-01,147855
2021-10-01,148503
2021-11-01,148752
2021-12-01,148951
